,time,value,target_prob,timeout,gap,status,id,path,unknown_fraction
0,0.007009983062744141,-0.2,0.0001,1800,0.0,3,0,out/user_strategies/model_greps_model-it_0_it_2.pickle,0.0
0,0.008137941360473633,0.0,0.9,1800,0.0,2,0,out/user_strategies/model_greps_model-it_0_it_0.pickle,1.0
0,0.012066125869750977,0.0,0.9,1800,0.0,2,1,out/user_strategies/model_greps_model-it_0_it_0.pickle,0.0
0,0.015712976455688477,0.0,0.9,1800,0.0,2,2,out/user_strategies/model_greps_model-it_0_it_0.pickle,0.0
0,0.008295059204101562,0.0,0.9,1800,0.0,2,0,out/user_strategies/model_greps_model-it_0_it_3.pickle,1.0
0,0.01541280746459961,0.0,0.9,1800,0.0,2,1,out/user_strategies/model_greps_model-it_0_it_3.pickle,0.0
0,0.02136707305908203,0.0,0.9,1800,0.0,2,2,out/user_strategies/model_greps_model-it_0_it_3.pickle,0.0
0,0.011109113693237305,2.62978185899895,0.4,1800,7.603378822992144e-10,2,0,out/user_strategies/model_greps_model-it_0_it_1.pickle,1.0
0,0.03174591064453125,2.803723521577724,0.4,1800,8.555182085486826e-05,2,1,out/user_strategies/model_greps_model-it_0_it_1.pickle,0.0
0,0.26531004905700684,2.687323102431469,0.4,1800,2.569375702929366e-06,2,2,out/user_strategies/model_greps_model-it_0_it_1.pickle,0.0
0,0.008641958236694336,0.0,0.8,1800,0.0,2,0,out/user_strategies/model_greps_model-it_0_it_0.pickle,1.0
0,0.012686967849731445,0.0,0.8,1800,0.0,2,1,out/user_strategies/model_greps_model-it_0_it_0.pickle,0.0
0,0.017236948013305664,0.0,0.8,1800,0.0,2,2,out/user_strategies/model_greps_model-it_0_it_0.pickle,0.0
0,0.013204813003540039,2.7755566881269536,0.3,1800,9.562335488452639e-05,2,0,out/user_strategies/model_greps_model-it_0_it_1.pickle,1.0
0,0.030406951904296875,2.8118230935232056,0.3,1800,3.759261215813741e-10,2,1,out/user_strategies/model_greps_model-it_0_it_1.pickle,0.0
0,0.14880800247192383,2.776651291222138,0.3,1800,8.38409479722098e-05,2,2,out/user_strategies/model_greps_model-it_0_it_1.pickle,0.0
0,0.02354907989501953,1.1216445710598526,0.8,1800,0.0,2,0,out/user_strategies/model_greps_model-it_0_it_2.pickle,1.0
0,0.17160701751708984,1.2337826892391348,0.8,1800,0.0,2,1,out/user_strategies/model_greps_model-it_0_it_2.pickle,1.0
0,0.30788397789001465,1.2500996095090287,0.8,1800,0.0,2,2,out/user_strategies/model_greps_model-it_0_it_2.pickle,1.0
0,0.005440950393676758,-0.2,0.0001,1800,0.0,3,0,out/user_strategies/model_greps_model-it_0_it_6.pickle,0.0
0,0.009220123291015625,0.0,1.0,1800,0.0,2,0,out/user_strategies/model_greps_model-it_0_it_5.pickle,1.0
0,0.014416933059692383,0.0,1.0,1800,0.0,2,1,out/user_strategies/model_greps_model-it_0_it_5.pickle,0.0
0,0.020498991012573242,0.0,1.0,1800,0.0,2,2,out/user_strategies/model_greps_model-it_0_it_5.pickle,0.0
0,0.005422115325927734,-0.2,0.1,1800,0.0,3,0,out/user_strategies/model_greps_model-it_0_it_6.pickle,0.0
0,0.008107900619506836,0.0,1.0,1800,0.0,2,0,out/user_strategies/model_greps_model-it_0_it_1.pickle,1.0
0,0.012108087539672852,0.0,1.0,1800,0.0,2,1,out/user_strategies/model_greps_model-it_0_it_1.pickle,0.0
0,0.016949892044067383,0.0,1.0,1800,0.0,2,2,out/user_strategies/model_greps_model-it_0_it_1.pickle,0.0
0,0.00978708267211914,3.5669083030528492,0.2,1800,1.5405909493448512e-07,2,0,out/user_strategies/model_greps_model-it_0_it_0.pickle,1.0
0,0.024754047393798828,3.5786709783248405,0.2,1800,8.083861952727575e-05,2,1,out/user_strategies/model_greps_model-it_0_it_0.pickle,0.0
0,0.019127845764160156,3.5669083041221468,0.2,1800,8.260581263673817e-05,2,2,out/user_strategies/model_greps_model-it_0_it_0.pickle,0.0
0,0.012357950210571289,2.7097522233182074,0.5,1800,1.8490569746592108e-09,2,0,out/user_strategies/model_greps_model-it_0_it_5.pickle,1.0
0,0.06091809272766113,2.8348325156372614,0.5,1800,6.05540409571575e-07,2,1,out/user_strategies/model_greps_model-it_0_it_5.pickle,0.0
0,0.5392789840698242,2.7483335206035484,0.5,1800,7.075009710360563e-05,2,2,out/user_strategies/model_greps_model-it_0_it_5.pickle,0.0
0,0.0062978267669677734,-0.2,0.1,1800,0.0,3,0,out/user_strategies/model_greps_model-it_0_it_5.pickle,0.0
0,0.011862993240356445,2.5330394622194397,0.6,1800,6.287010099941582e-06,2,0,out/user_strategies/model_greps_model-it_0_it_5.pickle,1.0
0,0.14954686164855957,2.7963521530800026,0.6,1800,8.74505014161179e-05,2,1,out/user_strategies/model_greps_model-it_0_it_5.pickle,0.5
0,0.4703798294067383,2.710796419499148,0.6,1800,5.413540929790043e-05,2,2,out/user_strategies/model_greps_model-it_0_it_5.pickle,0.0
0,0.0062520503997802734,-0.2,0.0001,1800,0.0,3,0,out/user_strategies/model_greps_model-it_0_it_4.pickle,0.0
0,0.009535074234008789,2.912046477075299,0.2,1800,6.018624173650615e-05,2,0,out/user_strategies/model_greps_model-it_0_it_6.pickle,1.0
0,0.024259090423583984,2.920761069067632,0.2,1800,0.0,2,1,out/user_strategies/model_greps_model-it_0_it_6.pickle,0.0
0,0.024016857147216797,2.912046472324769,0.2,1800,9.27440423283425e-05,2,2,out/user_strategies/model_greps_model-it_0_it_6.pickle,0.0
0,0.014844894409179688,1.1173838229674433,0.9,1800,0.0,2,0,out/user_strategies/model_greps_model-it_0_it_5.pickle,1.0
0,0.12980079650878906,1.2586319287904475,0.9,1800,1.5265544627544425e-05,2,1,out/user_strategies/model_greps_model-it_0_it_5.pickle,1.0
