,time,value,target_prob,timeout,gap,status,id,path,unknown_fraction
0,0.9718079566955566,0.0,0.6,1800,0.0,2,0,out/user_strategies/model_spotify1000_model-it_5_it_0.pickle,1
0,1.0660529136657715,0.0,0.7,1800,0.0,2,0,out/user_strategies/model_spotify1000_model-it_5_it_0.pickle,1
0,1.0889430046081543,0.0,0.8,1800,0.0,2,0,out/user_strategies/model_spotify1000_model-it_5_it_0.pickle,1
0,1.0588769912719727,0.0,0.9,1800,0.0,2,0,out/user_strategies/model_spotify1000_model-it_5_it_0.pickle,1
0,1.105017900466919,0.0,1.0,1800,0.0,2,0,out/user_strategies/model_spotify1000_model-it_5_it_0.pickle,1
0,1.085813045501709,0.0,0.7,1800,0.0,2,0,out/user_strategies/model_spotify1000_model-it_6_it_0.pickle,1
0,1.0628159046173096,0.0,0.6,1800,0.0,2,0,out/user_strategies/model_spotify1000_model-it_6_it_0.pickle,1
0,1.042952060699463,0.0,0.8,1800,0.0,2,0,out/user_strategies/model_spotify1000_model-it_6_it_0.pickle,1
0,1.0605151653289795,0.0,0.9,1800,0.0,2,0,out/user_strategies/model_spotify1000_model-it_6_it_0.pickle,1
0,1.0843579769134521,0.0,1.0,1800,0.0,2,0,out/user_strategies/model_spotify1000_model-it_6_it_0.pickle,1
0,0.05277204513549805,-0.2,0.0001,1800,0.0,3,0,out/user_strategies/model_spotify1000_model-it_8_it_0.pickle,0
0,0.05684399604797363,-0.2,0.0001,1800,0.0,3,0,out/user_strategies/model_spotify1000_model-it_9_it_0.pickle,0
0,1.3562629222869873,0.0,0.4,1800,0.0,2,0,out/user_strategies/model_spotify1000_model-it_6_it_0.pickle,1
0,1.0402641296386719,0.0,0.5,1800,0.0,2,0,out/user_strategies/model_spotify1000_model-it_7_it_0.pickle,1
0,1.148817777633667,0.0,0.6,1800,0.0,2,0,out/user_strategies/model_spotify1000_model-it_7_it_0.pickle,1
0,0.9484519958496094,0.0,0.4,1800,0.0,2,0,out/user_strategies/model_spotify1000_model-it_7_it_0.pickle,1
